"Base Word",Guideword,Level,"Part of Speech",YLE,YLE
tender,FOOD,C2,adjective,,
"stock market",,C1,noun,,
share,BUSINESS,C2,noun,,
rough,SEA/WEATHER,B2,adjective,,
rural,,B2,adjective,,
solar,,B2,adjective,,
"the seaside",,B1,noun,,
stone,JEWEL,B1,noun,,
search,"FIND ANSWER",B2,noun,,
struggle,EFFORT,B2,noun,,
schedule,,B2,verb,,
set,ACHIEVE,B2,verb,,
shower,WASH,B2,verb,,
squash,"PUSH INTO",B2,verb,,
seduce,SEX,C2,verb,,
slim,THIN,A1,adjective,,
teenage,,B1,adjective,,
shy,,B1,adjective,,
smart,CLEVER,B1,adjective,,
strict,PERSON,B1,adjective,,
stupid,,B1,adjective,,
sweet,KIND,B1,adjective,,
secure,CONFIDENT,B2,adjective,,
self-confident,,B2,adjective,,
severe,STRICT,B2,adjective,,
sharp,MIND,B2,adjective,,
sorry,"SAYING NO",B2,adjective,,
strict,BEHAVIOUR,B2,adjective,,
strong,DETERMINED,B2,adjective,,
strong,PERSONALITY,B2,adjective,,
stubborn,,B2,adjective,,
tense,NERVOUS,B2,adjective,,
tense,SITUATION,B2,adjective,,
sincere,HONEST,C1,adjective,,
stable,PERSON,C1,adjective,,
serene,,C2,adjective,,
shallow,"NOT SERIOUS",C2,adjective,,
shrewd,,C2,adjective,,
sick,CRUEL,C2,adjective,,
sober,SERIOUS,C2,adjective,,
stern,,C2,adjective,,
stiff,FORMAL,C2,adjective,,
superior,OPINION,C2,adjective,,
tender,GENTLE,C2,adjective,,
side,CHARACTER,B2,noun,,
side,"OPPOSING GROUP",B2,noun,,
temper,ANGER,B2,noun,,
terror,,B2,noun,,
state,,B2,adjective,,
single,"NOT MARRIED",A2,adjective,,
strong,RELATIONSHIP,B1,adjective,,
side,RELATIVES,C2,noun,,
shut,"NOT SERVING",B1,adjective,,
sports,,B1,adjective,,
semi-final,,B2,noun,,
side,SPORT,C2,noun,,
smart,TECHNOLOGY,C1,adjective,,
senior,"MORE IMPORTANT",B2,adjective,,
silent,"NO SPEAKING",B2,adjective,,
staff,,A2,noun,,
team,"WORK GROUP",B1,noun,,
shift,WORK,B2,noun,,
sociable,,B1,adjective,,
suitable,,B1,adjective,,
sustainable,CONTINUE,C1,adjective,,
sustainable,ENVIRONMENT,C1,adjective,,
social,"GOING OUT",B1,adjective,,
seasonal,,B2,adjective,,
social,SOCIETY,B2,adjective,,
supernatural,,B2,adjective,,
sensational,SHOCKING,C1,adjective,,
statistical,,C1,adjective,,
sentimental,VALUE,C2,adjective,,
structural,,C2,adjective,,
superficial,"NOT COMPLETE",C2,adjective,,
territorial,,C2,adjective,,
scheduled,PLANNED,B2,adjective,,
skilled,,B2,adjective,,
soaked,,B2,adjective,,
so-called,"KNOWN AS",B2,adjective,,
scattered,,C2,adjective,,
stranded,,C2,adjective,,
structured,,C2,adjective,,
successful,ACHIEVEMENT,B1,adjective,,
successful,WORK,B2,adjective,,
successful,POPULAR,B2,adjective,,
shameful,,C1,adjective,,
skilful,"DONE WELL",C1,adjective,,
thankful,,C1,adjective,,
tasteful,,C2,adjective,,
tangible,,C2,adjective,,
romantic,LOVE,B1,adjective,,
specific,"PARTICULAR THING",B2,adjective,,
specific,EXACT,C1,adjective,,
strategic,,C1,adjective,,
romantic,IDEAS,C2,adjective,,
symbolic,,C2,adjective,,
sympathetic,IDEAS,C2,adjective,,
systematic,,C2,adjective,,
soaking,,B2,adjective,,
sparkling,SHINING,B2,adjective,,
starving,ILL/DYING,B2,adjective,,
striking,,B2,adjective,,
surrounding,,B2,adjective,,
soaring,,C1,adjective,,
sensitive,REACTING,B2,adjective,,
sensitive,"EASILY DAMAGED",B2,adjective,,
sensitive,SUBJECT,B2,adjective,,
selective,,C1,adjective,,
subjective,,C1,adjective,,
successive,,C2,adjective,,
senseless,,C2,adjective,,
tasteless,OFFENSIVE,C2,adjective,,
secretly,,B1,adverb,,
seriously,BADLY,B1,adverb,,
softly,,B1,adverb,,
specially,,B1,adverb,,
sadly,"NOT SATISFACTORY",B2,adverb,,
separately,,B2,adverb,,
severely,,B2,adverb,,
sharply,,B2,adverb,,
shortly,SOON,B2,adverb,,
significantly,,B2,adverb,,
silently,,B2,adverb,,
simply,ONLY,B2,adverb,,
simply,"NOT COMPLICATED",B2,adverb,,
simultaneously,,B2,adverb,,
smoothly,"WITHOUT PROBLEMS",B2,adverb,,
steadily,,B2,adverb,,
strangely,,B2,adverb,,
strictly,EXACTLY,B2,adverb,,
successfully,,B2,adverb,,
suitably,,B2,adverb,,
suspiciously,,B2,adverb,,
temporarily,,B2,adverb,,
terribly,"VERY BADLY",B2,adverb,,
satisfactorily,,C1,adverb,,
seemingly,,C1,adverb,,
similarly,,C1,adverb,,
sincerely,EMPHASIS,C1,adverb,,
solely,,C1,adverb,,
specifically,"PARTICULAR PURPOSE",C1,adverb,,
specifically,EXACTLY,C1,adverb,,
subsequently,,C1,adverb,,
substantially,,C1,adverb,,
supposedly,,C1,adverb,,
technically,SCIENCE/INDUSTRY,C1,adverb,,
thankfully,,C1,adverb,,
roughly,FORCEFULLY,C2,adverb,,
roughly,"WITHOUT CARE",C2,adverb,,
scarcely,,C2,adverb,,
smoothly,"WITHOUT SUDDEN MOVEMENTS",C2,adverb,,
sparsely,,C2,adverb,,
spiritually,,C2,adverb,,
strategically,,C2,adverb,,
subconsciously,,C2,adverb,,
superficially,,C2,adverb,,
swiftly,,C2,adverb,,
systematically,,C2,adverb,,
technically,DETAIL,C2,adverb,,
serious,BAD,B1,adjective,,
serious,"NOT JOKING",B1,adjective,,
serious,"NEEDING ATTENTION",B2,adjective,,
strenuous,,C2,adjective,,
superfluous,,C2,adjective,,
synonymous,CONNECTED,C2,adjective,,
synonymous,WORD,C2,adjective,,
shiny,,B1,adjective,,
sleepy,TIRED,B1,adjective,,
sticky,"THAT CAN STICK",B1,adjective,,
rusty,METAL,B2,adjective,,
sleepy,PLACE,C1,adjective,,
slippery,,C1,adjective,,
rosy,POSITIVE,C2,adjective,,
shabby,UNFAIR,C2,adjective,,
smoky,,C2,adjective,,
squeaky,SOUND,C2,adjective,,
sexual,SEX,B2,adjective,,
simple,EASY,A2,adjective,,
singular,,A2,adjective,,
small,"NOT IMPORTANT",A2,adjective,,
south,,A2,adjective,,
sweet,ATTRACTIVE,A2,adjective,,
rude,"NOT POLITE",B1,adjective,,
safe,"NOT HARMED",B1,adjective,,
second-hand,,B1,adjective,,
secret,,B1,adjective,,
self-service,,B1,adjective,,
separate,"NOT JOINED",B1,adjective,,
separate,DIFFERENT,B1,adjective,,
shut,CLOSED,B1,adjective,,
silent,QUIET,B1,adjective,,
silly,UNIMPORTANT,B1,adjective,,
similar,,B1,adjective,,
simple,"NOT COMPLICATED",B1,adjective,,
smart,STYLISH,B1,adjective,,
soft,GENTLE,B1,adjective,,
southeast,,B1,adjective,,
southern,,B1,adjective,,
southwest,,B1,adjective,,
spare,EXTRA,B1,adjective,,
special,DIFFERENT,B1,adjective,,
spectacular,,B1,adjective,,
steep,SLOPE,B1,adjective,,
strange,"NOT FAMILIAR",B1,adjective,,
strong,"PRODUCED WITH POWER",B1,adjective,,
temporary,,B1,adjective,,
rough,DIFFICULT,B2,adjective,,
royal,,B2,adjective,,
rude,WORDS/JOKES,B2,adjective,,
secure,SAFE,B2,adjective,,
senior,OLDER,B2,adjective,,
separate,"NOT RELATED",B2,adjective,,
short-term,,B2,adjective,,
significant,,B2,adjective,,
simple,IMPORTANT,B2,adjective,,
slow,"NOT EXCITING",B2,adjective,,
solo,,B2,adjective,,
steady,GRADUAL,B2,adjective,,
steady,STILL,B2,adjective,,
still,"NOT MOVING",B2,adjective,,
straightforward,,B2,adjective,,
stuck,"NOT MOVE",B2,adjective,,
sudden,,B2,adjective,,
rough,DANGEROUS,C1,adjective,,
sacred,HOLY,C1,adjective,,
safe,"WITHOUT RISK",C1,adjective,,
secure,COMPUTER,C1,adjective,,
sharp,CLEAR,C1,adjective,,
sheer,EXTREME,C1,adjective,,
sheer,LARGE,C1,adjective,,
smooth,PROCESS,C1,adjective,,
sole,,C1,adjective,,
stable,SITUATION,C1,adjective,,
steady,"NOT CHANGING",C1,adjective,,
steep,LARGE,C1,adjective,,
stuck,"NOT CONTINUE",C1,adjective,,
subsequent,,C1,adjective,,
superior,BETTER,C1,adjective,,
routine,BORING,C2,adjective,,
sacred,IMPORTANT,C2,adjective,,
secure,"NOT FAIL",C2,adjective,,
sedentary,,C2,adjective,,
self-made,,C2,adjective,,
self-sufficient,,C2,adjective,,
set,,C2,adjective,,
shaken,,C2,adjective,,
sheer,STEEP,C2,adjective,,
slender,,C2,adjective,,
slim,SMALL,C2,adjective,,
smooth,MOVEMENT,C2,adjective,,
sober,"NOT DRUNK",C2,adjective,,
solid,CERTAIN,C2,adjective,,
solitary,ONLY,C2,adjective,,
solitary,"DONE ALONE",C2,adjective,,
stiff,SEVERE,C2,adjective,,
still,WATER/AIR,C2,adjective,,
strict,EXACT,C2,adjective,,
subject,STORY/PAINTING,C2,adjective,,
subtle,"NOT OBVIOUS",C2,adjective,,
subtle,"NOT STRONG",C2,adjective,,
subtle,CLEVER,C2,adjective,,
supplementary,,C2,adjective,,
so,"MENTIONED EARLIER",A2,adverb,,
south,,A2,adverb,,
straight,LINE,A2,adverb,,
safely,,B1,adverb,,
somehow,"WAY NOT KNOWN",B1,adverb,,
still,DESPITE,B1,adverb,,
straight,IMMEDIATELY,B1,adverb,,
second,"IN LIST",B2,adverb,,
seldom,,B2,adverb,,
since,,B2,adverb,,
somehow,"REASON NOT CLEAR",B2,adverb,,
sharp,SUDDENLY,C1,adverb,,
sharp,EXACTLY,C1,adverb,,
sideways,,C2,adverb,,
start,BEGINNING,B1,noun,,
tear,CRYING,B1,noun,,
scene,PLACE,B2,noun,,
share,PART,B2,noun,,
side,"PART OF SITUATION",B2,noun,,
spread,MOVEMENT,B2,noun,,
strain,PRESSURE,B2,noun,,
sequence,FILM,C1,noun,,
shift,CHANGE,C1,noun,,
sentiment,,C2,noun,,
sequence,SERIES,C2,noun,,
sequence,ORDER,C2,noun,,
sin,RELIGION,C2,noun,,
sin,"MORALLY WRONG",C2,noun,,
slap,,C2,noun,,
stitch,THREAD,C2,noun,,
zoo,,A1,noun,Starters,
tiger,,B1,noun,Starters,
zebra,,B2,noun,Starters,
T-shirt,,A1,noun,Starters,
watch,,A1,noun,Starters,
trousers,,A1,noun,Starters,
wear,CLOTHES,A1,verb,Starters,
word,"LANGUAGE UNIT",A1,noun,Starters,
tick,,B1,noun,Starters,
year,"PERIOD OF STUDY",A2,noun,Starters,
tomato,,A1,noun,Starters,
wall,,A1,noun,Starters,
window,GLASS,A1,noun,Starters,
tree,,A1,noun,Starters,
water,LIQUID,A1,noun,Starters,
water,SEA/LAKE,A2,noun,Starters,
walk,,A1,verb,Starters,
watch,"LOOK AT",A1,verb,Starters,
throw,"IN AIR",A2,verb,Starters,
try,ATTEMPT,A2,verb,Starters,
woman,,A1,noun,Starters,
want,,A1,verb,Starters,
toy,,A2,noun,Starters,
train,VEHICLE,A1,noun,Starters,
truck,,B1,noun,Starters,
thing,OBJECT,A1,noun,Starters,
year,"TWELVE MONTHS",A1,noun,Starters,
today,"THIS DAY",A1,noun,Starters,
trainer,SHOE,A2,noun,Flyers,
winner,,A2,noun,Flyers,
wing,CREATURE,B1,noun,Flyers,
tune,SONG,A2,noun,Flyers,
violin,,A2,noun,Flyers,
toe,"ON FOOT",A2,noun,Flyers,
X-ray,,B2,noun,Flyers,
umbrella,,A2,noun,Flyers,
whisper,,B2,verb,Flyers,
university,,A1,noun,Flyers,
timetable,SCHOOL/COLLEGE,A2,noun,Flyers,
view,"THINGS YOU SEE",A2,noun,Flyers,
wood,"GROUP OF TREES",A2,noun,Flyers,
winter,,A1,noun,Flyers,
turn,"MOVE YOUR BODY",B1,verb,Flyers,
use,PURPOSE,A1,verb,Flyers,
tidy,,A2,verb,Flyers,
visit,"SEE A PERSON",A1,verb,Flyers,
turn,"CHANGE DIRECTION",A2,verb,Flyers,
whistle,,B2,verb,Flyers,
wish,WANT,B2,noun,Flyers,
wife,,A1,noun,Flyers,
win,,C1,noun,Flyers,
volleyball,,A2,noun,Flyers,
tyre,,A2,noun,Flyers,
way,ROUTE,A2,noun,Flyers,
timetable,BUS/TRAIN,B1,noun,Flyers,
traffic,VEHICLES,A2,noun,Flyers,
tour,,A2,noun,Flyers,
waiter,,A1,noun,Flyers,
theatre,,A2,noun,Flyers,
uniform,,A2,noun,Flyers,
way,METHOD,A2,noun,Flyers,
wheel,"ON VEHICLE",A2,noun,Flyers,
torch,,B2,noun,Flyers,
tomorrow,"DAY AFTER TODAY",A1,noun,Flyers,
time,MINUTES/DAYS/YEARS,A2,noun,Flyers,
tonight,,A2,noun,Flyers,
west,DIRECTION,A2,noun,Flyers,
wool,,A2,noun,Flyers,
time,"PARTICULAR POINT",A1,noun,Flyers,
time,OCCASION,A2,noun,Flyers,
whale,,B1,noun,Movers,
tooth,"IN MOUTH",A1,noun,Movers,
toothache,,A2,noun,Movers,
vegetable,,A1,noun,Movers,
towel,"FOR DRYING",A2,noun,Movers,
treasure,"GOLD/JEWELS, ETC.",B2,noun,Movers,
village,,A1,noun,Movers,
waterfall,,B1,noun,Movers,
wave,WATER,B1,noun,Movers,
weather,"WIND, RAIN, ETC.",A1,noun,Movers,
town,"PLACE PEOPLE LIVE/WORK",A1,noun,Movers,
wind,,A1,noun,Movers,
world,"THE EARTH",A1,noun,Movers,
walk,JOURNEY,A2,noun,Movers,
wait,STAY,A1,verb,Movers,
wash,"CLEAN BODY",A1,verb,Movers,
wash,"CLEAN THING",A1,verb,Movers,
water,PLANTS,B2,verb,Movers,
think,"BELIEVE TO BE TRUE",A1,verb,Movers,
think,OPINION,A1,verb,Movers,
uncle,,A2,noun,Movers,
website,,A1,noun,Movers,
video,"ON COMPUTER/CAMERA",A2,noun,Movers,
trip,,A2,noun,Movers,
tractor,,C2,noun,Movers,
work,PLACE,A1,noun,Movers,
work,JOB,A1,noun,Movers,
ticket,,A1,noun,Movers,
week,"SEVEN DAYS",A1,noun,Movers,
week,"MONDAY TO FRIDAY",A1,noun,Movers,
weekend,,A1,noun,Movers,
toothbrush,,A2,noun,Movers,
top,"HIGHEST PART",A2,noun,Movers,
work,ACTIVITY,A2,noun,Movers,
toothpaste,,B1,noun,Movers,
Thursday,,A1,noun,Movers,
Wednesday,,A1,noun,Movers,
video,FILM/TV,A2,noun,Movers,
set,"BE IN PLACE",B2,verb,,
tackle,SPORT,B2,verb,,
rule,CONTROL,C1,verb,,
set,LEVEL,C1,verb,,
surge,,C1,verb,,
survey,QUESTION,C1,verb,,
survey,EXAMINE,C1,verb,,
seal,"CLOSE ENTRANCE",C2,verb,,
seal,"CLOSE LETTER",C2,verb,,
seduce,PERSUADE,C2,verb,,
surrender,,C2,verb,,
utter,,C2,verb,,
trash,,C2,noun,,
undertake,DO,C1,verb,,
unwind,RELAX,C1,verb,,
workaholic,,C2,noun,,
thesis,IDEA,C2,noun,,
violate,,C2,verb,,
translate,CAUSE,C2,verb,,
tip,"UNTIDY PLACE",C2,noun,,
weep,,C2,verb,,
unemployment,,B1,noun,,
unhappiness,,B2,noun,,
unwillingness,,C1,noun,,
undo,OPEN,B2,verb,,
unlock,,B2,verb,,
untie,,B2,verb,,
unfold,OPEN,C1,verb,,
unload,REMOVE,C2,verb,,
unwind,"MAKE STRAIGHT",C2,verb,,
undo,"CHANGE BACK",B2,verb,,
withdrawal,MONEY,C2,noun,,
tolerance,,C2,noun,,
thriller,,B1,noun,,
viewer,,B2,noun,,
voter,,C2,noun,,
traveller,,B1,noun,,
worker,"IN COMPANY",A2,noun,,
well-being,,C1,noun,,
writing,SKILL,A1,noun,,
writing,TEXT,A2,noun,,
writing,STYLE,B1,noun,,
writing,WORK,B2,noun,,
warning,,B1,noun,,
walking,,A2,noun,,
understanding,SYMPATHY,B2,noun,,
wedding,,B1,noun,,
training,SPORT,B1,noun,,
windsurfing,,B1,noun,,
turning,,B1,noun,,
trekking,,B2,noun,,
translation,,B1,noun,,
transportation,,C1,noun,,
vocation,,C2,noun,,
tourism,,B1,noun,,
therapist,,C1,noun,,
tourist,,A2,noun,,
vanity,,C2,noun,,
vitality,,C2,noun,,
treatment,MEDICAL,B2,noun,,
tiredness,,B2,noun,,
willingness,,B2,noun,,
toughness,,C2,noun,,
visitor,,A2,noun,,
web,SPIDER,B1,noun,,
trap,"CATCHING ANIMALS",B2,noun,,
wasp,,B2,noun,,
wolf,,B2,noun,,
worm,,B2,noun,,
trail,MARKS,C2,noun,,
trumpet,,B1,noun,,
track,MUSIC,B2,noun,,
verse,,B2,noun,,
whistle,,B2,noun,,
work,CREATION,B2,noun,,
tune,"MUSICAL NOTES",C1,noun,,
trilogy,,C2,noun,,
throat,,B1,noun,,
thumb,,B1,noun,,
tongue,"IN MOUTH",B1,noun,,
thigh,,B2,noun,,
toenail,,B2,noun,,
virus,"SMALL ORGANISM",B2,noun,,
waist,,B2,noun,,
wound,,B2,noun,,
wrist,,B2,noun,,
vein,,C1,noun,,
transplant,,C2,noun,,
wreck,PERSON,C2,noun,,
wrinkle,,C2,noun,,
touch,ABILITY,B2,noun,,
welfare,HEALTH,B2,noun,,
therapy,,B2,noun,,
vaccine,,C2,noun,,
water,MOUTH,C2,verb,,
treat,MEDICAL,B2,verb,,
twist,INJURE,C1,verb,,
transmit,SPREAD,C2,verb,,
vaccinate,,C2,verb,,
vomit,,C2,verb,,
tie,CLOTHES,A2,noun,,
top,CLOTHES,B1,noun,,
tracksuit,,B1,noun,,
zip,,B2,noun,,
veil,,C1,noun,,
vest,UNDERWEAR,C1,noun,,
underwear,,B1,noun,,
velvet,,C2,noun,,
tights,,A2,noun,,
underpants,,B1,noun,,
wardrobe,CLOTHES,C1,noun,,
verb,,A2,noun,,
tip,ADVICE,B1,noun,,
title,"BOOK/FILM, ETC.",B1,noun,,
topic,,B1,noun,,
vowel,,B1,noun,,
theme,,B2,noun,,
threat,"THING SAID",B2,noun,,
update,"NEW INFORMATION",B2,noun,,
use,WORD,B2,noun,,
yell,,B2,noun,,
vocabulary,"WORDS YOU KNOW",A2,noun,,
welcome,"FRIENDLY TREATMENT",B1,noun,,
tone,VOICE,B2,noun,,
tribute,,C2,noun,,
thanks,,B2,noun,,
underline,"DRAW LINE",B1,verb,,
warn,,B1,verb,,
welcome,MEET,B1,verb,,
threaten,HARM,B2,verb,,
underline,EMPHASIZE,B2,verb,,
welcome,ENCOURAGE,B2,verb,,
translate,LANGUAGE,B1,verb,,
wonder,"POLITE REQUEST",B1,verb,,
write,CREATE,B1,verb,,
yell,,B2,verb,,
volunteer,,C1,verb,,
witness,,B2,noun,,
verdict,,C2,noun,,
trial,"IN COURT",B2,noun,,
try,LAW,C2,verb,,
yard,,B1,noun,,
ton,WEIGHT,B2,noun,,
triangle,,B2,noun,,
volume,AMOUNT,B2,noun,,
weight,HEAVINESS,B2,noun,,
yellow,,A2,noun,,
width,,B2,noun,,
worst,"MOST UNPLEASANT/DIFFICULT",B1,noun,,
workshop,,C1,noun,,
tin,"FOOD CONTAINER",B1,noun,,
vegetarian,,B1,noun,,
tin,"FOR STORING",B2,noun,,
tray,,B2,noun,,
toast,BREAD,A2,noun,,
vinegar,,B2,noun,,
yogurt,,A2,noun,,
tuna,,B1,noun,,
toilet,CONTAINER,A1,noun,,
"washing machine",,A2,noun,,
tower,,B1,noun,,
venue,,B2,noun,,
throne,"FOR KING/QUEEN",C2,noun,,
warehouse,,C2,noun,,
wallet,,A2,noun,,
tip,PAYMENT,B1,noun,,
will,DOCUMENT,C2,noun,,
wealth,MONEY,B2,noun,,
turnover,BUSINESS,C1,noun,,
withdraw,MONEY,C1,verb,,
thunderstorm,,A2,noun,,
valley,,B1,noun,,
"weather forecast",,B1,noun,,
tide,,B2,noun,,
tornado,,B2,noun,,
trunk,,B2,noun,,
volcano,,B2,noun,,
vine,,C1,noun,,
weed,,C2,noun,,
wilderness,,C2,noun,,
thunder,,B1,noun,,
warmth,HEAT,B2,noun,,
tobacco,,C1,noun,,
tin,METAL,C2,noun,,
woodland,,C2,noun,,
use,USING,A2,noun,,
washing-up,,A2,noun,,
work,EFFORT,B1,noun,,
violence,HURT,B2,noun,,
wait,,B2,noun,,
trip,,B2,verb,,
wander,"WALK SLOWLY",B2,verb,,
yawn,,B2,verb,,
wink,,C2,verb,,
tie,"MAKE A KNOT",B1,verb,,
transfer,MOVE,B1,verb,,
try,TEST,B1,verb,,
use,REDUCE,B1,verb,,
waste,"USE TOO MUCH",B1,verb,,
wrap,COVER,B1,verb,,
time,"MEASURE HOW LONG",B2,verb,,
transform,,B2,verb,,
update,"MAKE MORE MODERN",B2,verb,,
upgrade,,B2,verb,,
watch,"BE CAREFUL",B2,verb,,
wipe,CLEAN,B2,verb,,
wrap,PROTECT,B2,verb,,
total,,C1,verb,,
trace,FIND,C1,verb,,
trace,ORIGIN,C1,verb,,
track,FOLLOW,C2,verb,,
twist,TURN,C2,verb,,
wreck,,C2,verb,,
tie,FASTEN,B1,verb,,
turn,PAGE,B1,verb,,
wake,,B1,verb,,
tighten,,B2,verb,,
turn,"GO ROUND",B2,verb,,
warm,,B2,verb,,
widen,INCREASE,B2,verb,,
tip,"ONE SIDE HIGHER",C2,verb,,
tread,,C2,verb,,
twist,"TURN YOUR BODY",C2,verb,,
thought,IDEA,B1,noun,,
worry,PROBLEM,B1,noun,,
type,PERSON,C1,noun,,
trait,,C2,noun,,
trust,,B2,noun,,
warmth,FEELING,B2,noun,,
wisdom,KNOWLEDGE,B2,noun,,
worry,"BEING ANXIOUS ",B2,noun,,
will,"WHAT SOMEONE WANTS",C1,noun,,
wit,,C1,noun,,
triumph,FEELING,C2,noun,,
willpower,,C2,noun,,
will,"MENTAL POWER",B2,noun,,
worry,"FEEL ANXIOUS",A2,verb,,
trust,BELIEVE,B1,verb,,
tolerate,ACCEPT,B2,verb,,
worry,"MAKE SOMEONE ANXIOUS",B2,verb,,
tire,"BECOME TIRED",C2,verb,,
wing,POLITICS,C2,noun,,
twin,,B1,noun,,
widow,,B2,noun,,
unit,PEOPLE,C1,noun,,
"video game",,A2,noun,,
tournament,,B1,noun,,
track,RACE,B1,noun,,
trophy,,B2,noun,,
triumph,SUCCESS,C1,noun,,
title,SPORTS,C2,noun,,
yoga,,B1,noun,,
track,"TYPE OF SPORT",B2,noun,,
victory,,B2,noun,,
tie,COMPETITION/GAME,C2,verb,,
withdraw,COMPETITION,C2,verb,,
"web page",,A2,noun,,
virus,"COMPUTER PROBLEM",B1,noun,,
webcam,,B1,noun,,
window,COMPUTER,B1,noun,,
thermometer,,B2,noun,,
tone,TELEPHONE,B2,noun,,
upgrade,,B2,noun,,
wire,ELECTRICITY,B2,noun,,
volume,SOUND,B1,noun,,
"virtual reality",,B2,noun,,
work,OPERATE,A2,verb,,
"traffic light",,A2,noun,,
tram,,A2,noun,,
track,PATH,B1,noun,,
"traffic jam",,B1,noun,,
tunnel,,B1,noun,,
van,,B1,noun,,
vehicle,TRANSPORT,B1,noun,,
windscreen,,B1,noun,,
trail,PATH,B2,noun,,
voyage,,B2,noun,,
wing,AIRCRAFT,B2,noun,,
yacht,,B2,noun,,
vacancy,ROOM,C1,noun,,
wreck,VEHICLE,C2,noun,,
transport,VEHICLES,B1,noun,,
travel,ACTIVITY,B1,noun,,
transport,GOODS/PEOPLE,B2,noun,,
traffic,"PLANES AND SHIPS",C2,noun,,
track,TRAINS,C1,noun,,
union,WORKERS,B1,noun,,
trade,"AREA OF BUSINESS",C1,noun,,
trainee,,C1,noun,,
vacancy,JOB,C1,noun,,
workplace,,C1,noun,,
venture,,C2,noun,,
trade,JOB,B2,noun,,
transfer,"CHANGE JOB/TEAM",B2,verb,,
thief,,B1,noun,,
wine,,A1,noun,,
whisky,,B2,noun,,
torture,,C2,verb,,
"uncountable noun",,B1,noun,,
uncertainty,,C1,noun,,
unrest,,C2,noun,,
unload,SHIP/AIRCRAFT,C1,verb,,
unfold,DEVELOP,C2,verb,,
uncover,,C1,verb,,
undress,,B1,verb,,
unpack,,B1,verb,,
variable,,C1,noun,,
withdrawal,"NOT AVAILABLE",C2,noun,,
trainer,PERSON,B1,noun,,
user,,B1,noun,,
writer,,B1,noun,,
walker,,C1,noun,,
thinker,,C2,noun,,
toddler,,C2,noun,,
trader,,C2,noun,,
villager,,C2,noun,,
understanding,AGREEMENT,C2,noun,,
undertaking,,C2,noun,,
training,"LEARNING SKILLS",B1,noun,,
timing,,B2,noun,,
upbringing,,B2,noun,,
vision,IDEA,B2,noun,,
variation,"DIFFERENT THING",C2,noun,,
vision,SIGHT,B2,noun,,
vegetation,,C1,noun,,
vision,"ABILITY TO PLAN",C1,noun,,
tradition,,B2,noun,,
variation,DIFFERENCE,B2,noun,,
transaction,,C1,noun,,
transformation,,C1,noun,,
transition,,C2,noun,,
vandalism,,C2,noun,,
unity,,C1,noun,,
tranquility,,C2,noun,,
validity,,C2,noun,,
treatment,"DEALING WITH",B2,noun,,
weakness,"NOT EFFECTIVE",B2,noun,,
weakness,"NOT STRONG",B2,noun,,
usefulness,,C1,noun,,
tutor,,B2,noun,,
warrior,,C1,noun,,
waitress,,A1,noun,,
thing,ACTIVITY,A2,noun,,
thing,FACT,A2,noun,,
"tour guide",,A2,noun,,
type,SORT,A2,noun,,
weekday,,A2,noun,,
tissue,,B1,noun,,
total,,B1,noun,,
"travel agent",,B1,noun,,
trend,,B1,noun,,
trick,DECEIVE,B1,noun,,
trick,MAGIC,B1,noun,,
tube,CONTAINER,B1,noun,,
turn,TIME,B1,noun,,
unit,"SINGLE THING",B1,noun,,
vase,,B1,noun,,
vet,,B1,noun,,
"video clip",,B1,noun,,
view,OPINION,B1,noun,,
visa,,B1,noun,,
visit,,B1,noun,,
voice,SOUNDS,B1,noun,,
vote,"SHOW CHOICE",B1,noun,,
wardrobe,FURNITURE,B1,noun,,
way,DIRECTION,B1,noun,,
wheelchair,,B1,noun,,
workout,,B1,noun,,
zone,,B1,noun,,
theory,IDEA,B2,noun,,
thesis,WRITING,B2,noun,,
thing,IDEA,B2,noun,,
thing,PERSON/ANIMAL,B2,noun,,
third,,B2,noun,,
threat,DAMAGE,B2,noun,,
time,"HISTORICAL PERIOD",B2,noun,,
timetable,PLAN,B2,noun,,
tomb,,B2,noun,,
tool,MAKE/REPAIR,B2,noun,,
tool,EQUIPMENT,B2,noun,,
trick,METHOD,B2,noun,,
trolley,,B2,noun,,
tube,PIPE,B2,noun,,
turn,"CHANGE IN DIRECTION",B2,noun,,
update,"NEW FORM",B2,noun,,
version,FORM,B2,noun,,
victim,,B2,noun,,
vitamin,,B2,noun,,
volunteer,,B2,noun,,
ward,,B2,noun,,
wave,ENERGY,B2,noun,,
weight,OBJECT,B2,noun,,
thrill,,C1,noun,,
tip,END,C1,noun,,
toast,DRINK,C1,noun,,
token,LOVE/THANKS,C1,noun,,
tool,"SOMETHING HELPFUL",C1,noun,,
trek,,C1,noun,,
twist,,C1,noun,,
version,DESCRIPTION,C1,noun,,
viewpoint,,C1,noun,,
walk,PATH,C1,noun,,
witch,,C1,noun,,
youngster,,C1,noun,,
thread,CONNECTION,C2,noun,,
threshold,LEVEL,C2,noun,,
timber,"PIECE OF WOOD",C2,noun,,
touch,"SMALL DETAIL",C2,noun,,
treasure,"VALUABLE OBJECT",C2,noun,,
treaty,,C2,noun,,
truth,"TRUE FACT",C2,noun,,
urge,,C2,noun,,
veteran,"MILITARY PERSON",C2,noun,,
veteran,"A LONG TIME",C2,noun,,
vice,,C2,noun,,
virgin,,C2,noun,,
virtue,"GOOD QUALITY",C2,noun,,
volume,BOOK,C2,noun,,
vow,,C2,noun,,
